year,month,day,week,temp_2,temp_1,average,actual,friend
2019,1,1,周二,45,45,45,45,45
2019,1,2,周三,45,45,45,45,45
2019,1,3,周四,45,45,45,45,45
2019,1,4,周五,45,45,45,45,45
2019,1,5,周六,45,45,45,45,45
2019,1,6,周日,45,45,45,45,45
2019,1,7,周一,45,45,45,45,45
2019,1,8,周二,45,45,45,45,45
2019,1,9,周三,45,45,45,45,45
2019,1,10,周四,45,45,45,45,45
2019,1,11,周五,45,45,45,45,45
2019,1,12,周六,45,45,45,45,45
2019,1,13,周日,45,45,45,45,45
2019,1,14,周一,45,45,45,45,45
2019,1,15,周二,45,45,45,45,45
2019,1,16,周三,45,45,45,45,45
2019,1,17,周四,45,45,45,45,45
2019,1,18,周五,45,45,45,45,45
2019,1,19,周六,45,45,45,45,45
2019,1,20,周日,45,45,45,45,45
2019,1,21,周一,54,52,47.8,52,57
2019,1,22,周二,48,52,47.9,57,60
2019,1,23,周三,52,57,48,48,37
2019,1,24,周四,57,48,48.1,51,54
2019,1,25,周五,48,51,48.2,54,63
2019,1,26,周六,51,54,48.3,56,61
2019,1,27,周日,54,56,48.4,57,54
2019,1,28,周一,56,57,48.4,56,34
2019,1,29,周二,57,56,48.5,52,49
2019,1,30,周三,56,52,48.6,48,47
2019,1,31,周四,52,48,48.7,47,61
2019,2,1,周五,48,47,48.8,46,51
2019,2,2,周六,47,46,48.8,51,56
2019,2,3,周日,46,51,48.9,49,40
2019,2,4,周一,51,49,49,49,44
2019,2,5,周二,49,49,49.1,53,45
2019,2,6,周三,49,53,49.1,49,56
2019,2,7,周四,53,49,49.2,51,63
2019,2,8,周五,49,51,49.3,57,34
2019,2,9,周六,51,57,49.4,62,57
2019,2,10,周日,57,62,49.4,56,30
2019,2,11,周一,57,56,49.5,55,37
2019,2,12,周二,62,56,49.6,58,33
2019,2,15,周三,55,58,49.9,55,53
2019,2,16,周四,58,55,49.9,56,55
2019,2,17,周五,55,56,50,57,46
2019,2,18,周六,56,57,50.1,53,34
2019,2,19,周日,57,53,50.2,51,42
2019,2,20,周一,53,51,50.4,53,43
2019,2,21,周二,51,53,50.5,51,46
2019,2,22,周三,53,51,50.6,51,59
2019,2,23,周四,51,51,50.7,60,43
2019,2,24,周五,51,60,50.8,59,46
2019,2,25,周六,60,59,50.9,61,35
2019,2,26,周日,59,61,51.1,60,65
2019,2,27,周一,61,60,51.2,57,61
2019,2,28,周二,60,57,51.3,53,66
2019,3,1,周三,53,54,51.5,58,53
2019,3,2,周四,54,58,51.6,55,37
2019,3,3,周五,58,55,51.8,59,71
2019,3,4,周六,55,59,51.9,57,45
2019,3,5,周日,59,57,52.1,64,46
2019,3,6,周一,57,64,52.2,60,49
2019,3,7,周二,64,60,52.4,53,71
2019,3,8,周三,60,53,52.5,54,70
2019,3,9,周四,53,54,52.7,55,57
2019,3,10,周五,54,55,52.8,56,50
2019,3,11,周六,55,56,53,55,36
2019,3,12,周日,56,55,53.1,52,65
2019,3,13,周一,55,52,53.3,54,54
2019,3,14,周二,52,54,53.4,49,44
2019,3,15,周三,54,49,53.6,51,70
2019,3,16,周四,49,51,53.7,53,65
2019,3,17,周五,51,53,53.9,58,62
2019,3,18,周六,53,58,54,63,56
2019,3,19,周日,58,63,54.2,61,62
2019,3,20,周一,63,61,54.3,55,50
2019,3,21,周二,61,55,54.5,56,52
2019,3,22,周三,55,56,54.6,57,64
2019,3,23,周四,56,57,54.7,53,70
2019,3,24,周五,57,53,54.9,54,72
2019,3,25,周六,53,54,55,57,42
2019,3,26,周日,54,57,55.2,59,54
2019,3,27,周一,57,59,55.3,51,39
2019,3,28,周二,59,51,55.5,56,47
2019,3,29,周三,51,56,55.6,64,45
2019,3,30,周四,56,64,55.7,68,57
2019,3,31,周五,64,68,55.9,73,56
2019,4,1,周六,68,73,56,71,41
2019,4,2,周日,73,71,56.2,63,45
2019,4,3,周一,71,63,56.3,69,64
2019,4,4,周二,63,69,56.5,60,45
2019,4,5,周三,69,60,56.6,57,72
